,Lat,Lon
82,40.896555,-73.975941
83,40.666417,-74.215426
84,28.359032,-81.557714
85,-30.706391,152.920761
86,55.3706,-7.380537
87,55.375721,-7.395451
88,55.375745,-7.395601
89,38.246713,-78.110233
90,38.246713,-78.110233
91,38.142677,-78.189963
92,38.142677,-78.189963
93,38.142677,-78.189963
94,38.142677,-78.189963
95,-33.297525,-71.576367
96,37.599496,-76.511371
97,52.187615,-10.190849
98,-7.93023,112.308238
99,28.210539,-16.640081
100,52.004801,-9.527529
101,24.336304,54.829587
102,52.004801,-9.527529
103,52.004801,-9.527529
104,52.023023,-9.496957
105,52.023023,-9.496957
106,52.023023,-9.496957
107,52.023023,-9.496957
108,52.030839,-9.490776
109,51.92796,-9.640424
110,52.111455,-10.465123
111,52.111455,-10.465123
112,52.111455,-10.465123
113,52.111455,-10.465123
114,52.111455,-10.465123
115,52.111455,-10.465123
116,52.037388,-10.061717
117,52.111455,-10.465123
118,52.144967,-10.421861
119,52.144967,-10.421861
120,52.144967,-10.421861
121,52.144967,-10.421861
122,52.144967,-10.421861
123,52.14802,-9.974124
124,51.92796,-9.640424
125,51.886129,-10.362812
126,51.911127,-10.358691
127,51.911127,-10.358691
128,51.911127,-10.358691
129,51.911127,-10.358691
130,51.911127,-10.358691
131,51.911127,-10.358691
132,51.911127,-10.358691
133,51.857512,-10.376203
134,51.857512,-10.376203
135,51.942461,-9.653164
136,51.857512,-10.376203
137,51.857512,-10.376203
138,51.857512,-10.376203
139,51.857512,-10.376203
140,51.825059,-10.330886
141,51.942461,-9.653164
142,51.823471,-10.276336
143,51.976473,-9.577655
144,52.004801,-9.527529
145,52.004801,-9.527529
146,52.004801,-9.527529
147,43.282041,-88.031242
148,52.26307,5.300467
149,41.852479,-73.929249
150,41.852479,-73.929249
151,52.178089,-10.471429
152,36.591058,-79.462491
153,52.26307,5.300467
154,36.591058,-79.462491
155,32.421087,-80.69252
156,38.69519,-9.210619
157,50.931865,0.791265
158,50.92971,0.792474
159,50.93127,0.793668
160,50.931757,0.78251
161,50.930621,0.781652
162,48.845313,-121.69145
163,50.932627,0.795346
164,50.93127,0.793668
165,50.8512,4.338719
166,51.770814,-10.538377
167,45.364752,11.13088
168,50.004229,2.648305
169,50.515702,14.150939
170,52.108508,-10.481986
171,40.772522,-73.974004
172,52.456194,9.276652
173,40.772522,-73.974004
174,38.69519,-9.210619
175,23.889604,55.055236
176,50.345789,1.551475
177,51.770969,-10.540075
178,38.909773,-77.043557
179,38.909773,-77.043557
180,38.909773,-77.043557
181,38.909773,-77.043557
182,38.909723,-77.043535
183,33.812155,-117.92128
184,51.505513,-0.019219
185,52.10972,-10.468626
186,36.357508,-117.56298
187,52.10972,-10.468626
188,50.952908,1.851952
189,50.952577,1.851919
190,50.952577,1.851919
191,50.952444,1.852544
192,50.952444,1.852544
193,50.952327,1.8528
194,50.952283,1.853088
195,50.952222,1.85375
196,50.952455,1.853194
197,50.952452,1.853952
198,50.952475,1.854058
199,50.952808,1.85385
200,50.959877,1.848669
201,50.957877,1.852644
202,50.958752,1.852925
203,50.958769,1.852866
204,10.8653,-68.2697
205,41.308963,19.840255
206,41.308822,19.840033
207,50.952455,1.853194
208,50.952302,1.853425
209,50.94753,1.853569
210,50.961075,1.852577
211,38.69519,-9.210619
212,51.772949,-10.541124
213,51.380605,-1.301325
214,36.219444,-116.72774
215,36.419175,-116.83269
216,54.578019,-3.129022
217,-14.093862,-75.793456
218,42.760483,-86.202571
219,42.760483,-86.202571
220,42.760483,-86.202571
221,42.760483,-86.202571
222,43.828849,-73.384946
223,18.193644,-66.143684
224,39.457021,-76.45523
225,39.456748,-76.455434
226,39.456748,-76.455434
227,39.456748,-76.455434
228,39.456748,-76.455434
229,39.456681,-76.454908
230,42.477161,-71.326675
231,42.760483,-86.202571
232,50.618974,-2.254257
233,33.10026,10.314069
234,33.10026,10.314069
235,34.016117,7.912323
236,33.994246,7.842736
237,32.911981,10.262088
238,63.999299,-16.86882
239,51.588322,-0.036821
240,32.911981,10.262088
241,32.911981,10.262088
242,34.016117,7.912323
243,34.321251,7.939209
244,34.321251,7.939209
245,33.923562,8.492946
246,33.923562,8.492946
247,33.923562,8.492946
248,42.381118,-71.234664
249,42.381118,-71.234664
250,42.381118,-71.234664
251,42.381118,-71.234664
252,42.381118,-71.234664
253,42.377919,-71.237098
254,42.377919,-71.237098
255,42.377919,-71.237098
256,50.875636,-0.153808
257,17.223118,-89.623374
